State,Extractable_Resource_ham,Extraction_ham,Extraction_Percentage,Category,Year
HARYANA,1.48,,0.0,Safe,2016
HIMACHAL PRADESH,0,0,0.0,Safe,2016
JAMMU AND KASHMIR,,,,No Data,2016
JHARKHAND,,,,No Data,2016
KARNATAKA,289096.5825989717,9685.40427169282,0.41245816167020866,Safe,2016
KERALA,,,,No Data,2016
LAKSHDWEEP,,,,No Data,2016
MADHYA PRADESH,,,,No Data,2016
MAHARASHTRA,736141.5961990386,32848.495133013486,0.5493787889887045,Safe,2016
MANIPUR,4047.09,20,1.9767289583379661,Safe,2016
MEGHALAYA,,,,No Data,2016
MIZORAM,,,,No Data,2016
NAGALAND,,,,No Data,2016
ODISHA,,,,No Data,2016
PUDUCHERRY,,,,No Data,2016
PUNJAB,0,1093.1093,0.0,Safe,2016
RAJASTHAN,1688.24,19258.7943,2281.5239539401978,Over-Exploited,2016
SIKKIM,,,,No Data,2016
TAMILNADU,,,,No Data,2016
TELANGANA,,,,No Data,2016
TRIPURA,,,,No Data,2016
UTTAR PRADESH,,,,No Data,2016
UTTARAKHAND,228859.57,19929.512272806398,0.7101998837103469,Safe,2016
WEST BENGAL,675642.9562853879,18968.465623384607,42.553905431861985,Safe,2016
WEST BENGAL,455220.815,0,,No Data,2012
ANDAMAN AND NICOBAR ISLANDS,0,,0.0,Safe,2021
ANDHRA PRADESH,1385005.2299999997,28408.1973904,20.575182232344346,Safe,2021
ARUNACHAL PRADESH,0,,0.0,Safe,2021
ASSAM,123857.28000000001,0,0.0,Safe,2021
BIHAR,1105012.0499999998,206107.25749699998,32.352069825844886,Safe,2021
CHANDIGARH,0,,0.0,Safe,2021
CHHATTISGARH,265132.32,10639.744890000002,51.633531513623076,Safe,2021
DADRA AND NAGAR HAVELI,2555.62,257.85,229.44764871146725,Over-Exploited,2021
DAMAN AND DIU,3617.23,0,157.92664552710224,Over-Exploited,2021
DELHI,0,,0.0,Safe,2021
GOA,5206.469999999999,621.618068,17.34995111851216,Safe,2021
GUJARAT,2458424.0900000003,82403.84410240364,53.23380027568799,Safe,2021
HARYANA,860622.1699999999,65016.27220000001,134.1366107266328,Over-Exploited,2021
HIMACHAL PRADESH,223.54,,0.0,Safe,2021
JAMMU AND KASHMIR,98125.41,19273.8095575,44.821631828086126,Safe,2021
JHARKHAND,417.68999999999994,0,0.0,Safe,2021
KARNATAKA,539523.89,27392.83219545,48.99876074069677,Safe,2021
KERALA,0,,0.0,Safe,2021
LADAKH,0,,0.0,Safe,2021
LAKSHDWEEP,0,,0.0,Safe,2021
MADHYA PRADESH,651120.9600000001,18811.864574999996,16.304386822380895,Safe,2021
MAHARASHTRA,849216.0027806892,34635.33671767152,50.20972262768251,Safe,2021
MANIPUR,0,,0.0,Safe,2021
MEGHALAYA,0,,0.0,Safe,2021
MIZORAM,0,,0.0,Safe,2021
NAGALAND,0,,0.0,Safe,2021
ODISHA,387310.74,21620.31583,36.07728254579254,Safe,2021
PUDUCHERRY,2056.86,,0.0,Safe,2021
PUNJAB,1707271.9500000002,116966.90719999997,164.11179484322923,Over-Exploited,2021
RAJASTHAN,185495.06999999998,18363.556731730787,79.22958815024033,Semi-Critical,2021
SIKKIM,0,,0.0,Safe,2021
TAMILNADU,175711.13999999998,0,0.0,Safe,2021
TELANGANA,894459.19,17797.622612884003,31.07422821604639,Safe,2021
TRIPURA,0,,0.0,Safe,2021
UTTAR PRADESH,6530343.4399999995,501439.48602996493,70.65752884813054,Semi-Critical,2021
UTTARAKHAND,186113.16999999998,14728.396455,48.03973840217756,Safe,2021
WEST BENGAL,639882.37,31461.889961999997,33.323796684693775,Safe,2021
